violation_text,city,cluster_id,taxonomy_category_id,category_name,frequency
(A)  (B) and (D) Equipment  Utensils  Linens and Single-Service and Single-Use Articles Storing,boston,56,57,Utensil and Equipment Storage,368
Compliance with Food Law,boston,50,51,Prohibited Foods Compliance,358
(A )Cooling Methods,boston,37,38,Cooling and Temperature Control,354
Cleaning Agents and Sanitizers  Availability,boston,63,64,Warewashing and Sanitization Compliance,353
Food Storage  Prohibited Areas,boston,59,60,Contamination Prevention,342
Equipment Food-Contact Surfaces and Utensils-Frequency,boston,55,56,Surface Cleanliness and Maintenance,341
Mechanical Warewashing Equipment  Hot Water Sanitization Temperatures,boston,63,64,Warewashing and Sanitization Compliance,338
Drying Mops,boston,45,46,Sanitation and Cleaning Practices,309
Backflow Prevention  Air Gap,boston,18,19,Backflow Prevention Compliance,306
Food Temperature Measuring Devices,boston,62,63,Temperature Measurement Compliance,299
Anti-Choking,boston,41,42,Consumption and Tobacco Use Violations,296
Cleaning Procedure,boston,45,46,Sanitation and Cleaning Practices,285
Covering Receptacles,boston,44,45,Waste Management,283
Receptacles,boston,44,45,Waste Management,280
Warewashing Machines  Temperature Measuring Devices,boston,63,64,Warewashing and Sanitization Compliance,278
Light Bulbs  Protective Shielding,boston,4,5,Lighting Safety Compliance,272
(A) and (C) Good Repair and Calibration-Utensils and Temperature and Pressure Measuring Devices,boston,42,43,Maintenance and Repair Compliance,268
Cooling,boston,37,38,Cooling and Temperature Control,263
Safe  Unadulterated and Honestly Presented,boston,59,60,Contamination Prevention,262
Cleaning Receptacles,boston,44,45,Waste Management,250
Grease Trap,boston,39,40,Waste Management Violations,243
Sanitizers  Criteria-Chemicals,boston,63,64,Warewashing and Sanitization Compliance,241
Storing Maintenance Tools,boston,56,57,Utensil and Equipment Storage,240
(A) and (C) Equipment  Utensils  Linens and Single-Service and Single-Use Articles-Storing,boston,56,57,Utensil and Equipment Storage,239
(A) Gloves  Use Limitation,boston,40,41,Personal Hygiene and Equipment Maintenance,236
Floors  Walls  and Ceilings  Utility Lines,boston,28,29,Structural Cleanliness and Maintenance,229
Backflow Prevention,boston,18,19,Backflow Prevention Compliance,224
Backflow Prevention Device  When Required,boston,18,19,Backflow Prevention Compliance,220
Equipment and Utensils  Air-Drying Required,boston,56,57,Utensil and Equipment Storage,219
Wood  Use Limitation,boston,0,1,Material Use Limitations,204
Handwashing Sinks-Location and Placement,boston,48,49,Handwashing Sink Compliance,195
(B) Cooling Methods,boston,37,38,Cooling and Temperature Control,194
(A) Ceasing Operations and Reporting,boston,13,14,Compliance and Corrections,192
Floor and Wall Junctures  Coved  and Enclosed or Sealed,boston,28,29,Structural Cleanliness and Maintenance,186
Cooking and Baking Equipment,boston,60,61,Time-Temperature Control Procedures,184
Drain boards,boston,35,36,Waste and Drainage Management,184
Warewashing Machines  Automatic Dispensing of Detergents and Sanitizers,boston,63,64,Warewashing and Sanitization Compliance,182
Assignment,boston,12,13,Person in Charge Duties,174
Handwashing Sinks  Installation,boston,48,49,Handwashing Sink Compliance,174
Food Preparation,boston,52,53,Food Safety and Preparation,172
Eating  Drinking  or Using Tobacco,boston,41,42,Consumption and Tobacco Use Violations,166
Toilet Rooms  Enclosed,boston,36,37,Sanitation and Facilities Compliance,162
Storage or Display of Food in Contact with Water or Ice,boston,59,60,Contamination Prevention,157
Hot Water and Chemical-Methods,boston,29,30,Water and Temperature Control,154
When a HACCP Plan is Required,boston,31,32,HACCP and ROP Compliance Violations,148
Where to Wash,boston,45,46,Sanitation and Cleaning Practices,148
Handwashing Sinks-Numbers and Capacities,boston,48,49,Handwashing Sink Compliance,146
Reheating for Hot Holding,boston,54,55,Temperature Control,136
Prohibitions,boston,2,3,Prohibited Practices,133
Standards of Identity,boston,11,12,Employee and Management Responsibilities,132
Food Display-Preventing Contamination by Consumers,boston,59,60,Contamination Prevention,131
Storage Refuse  Recyclables and Returnable,boston,53,54,Food Safety and Sanitation Violations,131
Equipment and Utensils-Durability and Strength,boston,56,57,Utensil and Equipment Storage,130
Manual Warewashing  Sink Compartment Requirements,boston,48,49,Handwashing Sink Compliance,126
Capacity-Quantity and Availability,boston,27,28,Storage and Equipment Management,125
Ventilation Hood Systems  Adequacy,boston,22,23,Ventilation and Lighting Compliance,122
Separation-Storage,boston,34,35,Outdoor Storage and Protection,120
Frequency-Removal,boston,63,64,Warewashing and Sanitization Compliance,119
Package Integrity,boston,46,47,Sourcing and Handling Compliance,116
Warewashing Machines  Manufacturers’ Operating Instructions,boston,63,64,Warewashing and Sanitization Compliance,115
Wiping Cloths  Air Drying Location,boston,45,46,Sanitation and Cleaning Practices,113
Heating  Ventilation  Air Conditioning System Vents,boston,22,23,Ventilation and Lighting Compliance,112
Warewashing Equipment  Determining Chemical Sanitizer Concentration,boston,63,64,Warewashing and Sanitization Compliance,107
Washing Fruits and Vegetables,boston,30,31,Food Hygiene and Sanitation,100
Variance Requirement,boston,3,4,Variance and Specialized Processing Compliance,99
Clean Condition-Outer Clothing,boston,32,33,Personal Hygiene Violations,99
Mechanical Warewashing Equipment  Wash Solution Temperature,boston,63,64,Warewashing and Sanitization Compliance,96
Using Dressing Rooms and Lockers,boston,36,37,Sanitation and Facilities Compliance,92
Mechanical-Ventilation,boston,22,23,Ventilation and Lighting Compliance,91
Single-Service and Single-Use Articles-Use Limitations,boston,49,50,Single-Service Article Compliance,87
Other Liquid Wastes and Rainwater,boston,39,40,Waste Management Violations,87
Warewashing Machine  Data Plate Operation Specifications,boston,63,64,Warewashing and Sanitization Compliance,87
Outdoor Storage Surface,boston,34,35,Outdoor Storage and Protection,86
Warewashing Sinks and Drain boards  Self-Draining,boston,48,49,Handwashing Sink Compliance,84
Storage-Other Personal Care Items,boston,56,57,Utensil and Equipment Storage,81
Reduced Oxygen Packaging  Criteria,boston,24,25,Disposable Items and Use Restrictions,76
Food Contact with Equipment  Utensils  and Linens,boston,55,56,Surface Cleanliness and Maintenance,74
Kitchenware and Tableware-Preventing Contamination,boston,59,60,Contamination Prevention,72
Area  Enclosures and Receptacles  Good Repair,boston,27,28,Storage and Equipment Management,72
Non-Continuous Cooking of Raw Animal Foods,boston,52,53,Food Safety and Preparation,71
Time as a Public Health Control ( Pf),boston,14,15,Time Control for Safety,69
Conditions of Use,boston,9,10,Operational Compliance Requirements,69
Closing Toilet Room Doors,boston,36,37,Sanitation and Facilities Compliance,68
Warewashing Equipment  Cleaning Frequency,boston,63,64,Warewashing and Sanitization Compliance,56
Ice Used as Exterior Coolant  Prohibited as Ingredient,boston,15,16,Water and Ice Safety,56
Pressure,boston,29,30,Water and Temperature Control,56
Ventilation Hood Systems  Drip Prevention,boston,22,23,Ventilation and Lighting Compliance,56
Storage of Soiled Linens,boston,56,57,Utensil and Equipment Storage,54
Rodent Bait Stations,boston,19,20,Pest Infestation Issues,54
Surface Characteristics-Outdoor Areas,boston,34,35,Outdoor Storage and Protection,53
Designation-Dressing Areas and Lockers,boston,36,37,Sanitation and Facilities Compliance,51
(C)(2) (3) and (17) Demonstration,boston,9,10,Operational Compliance Requirements,48
Warewashing Equipment  Cleaning Agents,boston,63,64,Warewashing and Sanitization Compliance,47
Insect Control Devices  Design and Installation,boston,20,21,Pest Control Management,47
Equipment  Clothes Washers  Dryers and Storage Cabinets  Contamination Prevention Location,boston,63,64,Warewashing and Sanitization Compliance,43
Restriction and Storage-Medicines,boston,10,11,Medicine and First Aid Storage,42
Raw Animal Foods-Cooking,boston,52,53,Food Safety and Preparation,42
Ready-To-Eat Time/Temperature Control for Safety Food  Disposition,boston,60,61,Time-Temperature Control Procedures,41
(A) Consumer Self-Service Operations,boston,49,50,Single-Service Article Compliance,40
Frozen Food,boston,61,62,Holding and Cooking Temperatures,38
Exterior Walls and Roofs  Protective Barrier,boston,28,29,Structural Cleanliness and Maintenance,37
Using Drain Plugs,boston,39,40,Waste Management Violations,36
CIP Equipment,boston,21,22,Equipment Installation and Maintenance,36
Temperature Measuring Devices  Food-Accuracy,boston,62,63,Temperature Measurement Compliance,36
Restricted Use Pesticides  Criteria,boston,43,44,Chemical and Safety Violations,36
Before Use After Cleaning,boston,45,46,Sanitation and Cleaning Practices,35
Identifying Information  Prominence-Original Containers,boston,33,34,Food Labeling Compliance,34
Handwashing Aids and Devices  Use Restrictions,boston,48,49,Handwashing Sink Compliance,34
Outdoor Enclosure,boston,34,35,Outdoor Storage and Protection,33
Manual Warewashing Equipment  Hot Water Sanitization Temperatures,boston,63,64,Warewashing and Sanitization Compliance,32
Storage Areas  Rooms and Receptacles  Capacity and Availability,boston,27,28,Storage and Equipment Management,32
Dispensing Equipment  Protection of Equipment and Food,boston,59,60,Contamination Prevention,31
Warewashing Equipment  Clean Solutions,boston,63,64,Warewashing and Sanitization Compliance,31
Records  Creation  & Retention,boston,56,57,Utensil and Equipment Storage,30
Clean condition-Hands and Arms,boston,40,41,Personal Hygiene and Equipment Maintenance,30
Rinsing Procedures,boston,63,64,Warewashing and Sanitization Compliance,30
Clean Linens,boston,45,46,Sanitation and Cleaning Practices,29
Shucked Shellfish  Packaging and Identification,boston,6,7,Shellfish Identification and Records,28
Preset Tableware,boston,56,57,Utensil and Equipment Storage,28
Other Forms of Information,boston,7,8,Nutritional Information Disclosure Violations,27
Conveying Sewage,boston,39,40,Waste Management Violations,27
Floor Covering  Mats and Duckboards,boston,28,29,Structural Cleanliness and Maintenance,26
Warewashing Machines  Flow Pressure Device,boston,63,64,Warewashing and Sanitization Compliance,26
(B) Good Repair and Calibration,boston,42,43,Maintenance and Repair Compliance,26
Warewashing Sinks  Use Limitation,boston,48,49,Handwashing Sink Compliance,25
Variances,boston,3,4,Variance and Specialized Processing Compliance,25
Outside Storage Prohibitions,boston,34,35,Outdoor Storage and Protection,24
Condiments  Protection,boston,59,60,Contamination Prevention,24
Honestly Presented,boston,1,2,Signage and Presentation Compliance,23
Restriction-Presence and Use,boston,9,10,Operational Compliance Requirements,23
Molluscan Shellfish  Original Container,boston,33,34,Food Labeling Compliance,23
Toilets and Urinals,boston,36,37,Sanitation and Facilities Compliance,23
Characteristics-Single-Service and Single-Use,boston,49,50,Single-Service Article Compliance,22
Toilet Tissue  Availability,boston,36,37,Sanitation and Facilities Compliance,22
Parasite Destruction,boston,19,20,Pest Infestation Issues,22
Prohibition-Jewelry,boston,2,3,Prohibited Practices,22
(A) & (C) Responsibility of Permit Holder  Person in Charge  and Conditional Employees,boston,11,12,Employee and Management Responsibilities,21
Pressure Measuring Devices  Mechanical Warewashing Equipment,boston,63,64,Warewashing and Sanitization Compliance,21
Manual Warewashing Equipment  Chemical Sanitization Using Detergent-Sanitizers,boston,63,64,Warewashing and Sanitization Compliance,20
Kick Plates Removable,boston,40,41,Personal Hygiene and Equipment Maintenance,20
uspension of Permit / Emergency Closure without a Prior Hearing,boston,13,14,Compliance and Corrections,19
Floor Carpeting  Restrictions and Installation,boston,9,10,Operational Compliance Requirements,19
Cleaning Maintenance Tools  Preventing Contamination,boston,63,64,Warewashing and Sanitization Compliance,19
Standards-Quality,boston,42,43,Maintenance and Repair Compliance,18
Shells  Use Limitations,boston,6,7,Shellfish Identification and Records,18
Designated Areas-Employee Accommodations for eating / drinking/smoking,boston,41,42,Consumption and Tobacco Use Violations,17
Shell stock Identification,boston,6,7,Shellfish Identification and Records,17
Equipment Compartments  Drainage,boston,35,36,Waste and Drainage Management,17
Temperature Measuring Devices  Ambient Air and Water-Accuracy,boston,62,63,Temperature Measurement Compliance,17
Dry Cleaning-Methods,boston,45,46,Sanitation and Cleaning Practices,17
(O) Person in Charge-Duties,boston,12,13,Person in Charge Duties,16
uspension of Permit with Notice,boston,11,12,Employee and Management Responsibilities,15
Storage Areas  Redeeming Machines  Receptacles and Waste Handling Units  Location,boston,27,28,Storage and Equipment Management,14
Separation-Storage and Display  Stock and Retail Sale,boston,34,35,Outdoor Storage and Protection,14
Vended Time/Temperature Control for Safety Food  Original Container,boston,60,61,Time-Temperature Control Procedures,13
Walls and Ceilings  Studs  Joists  and Rafters,boston,28,29,Structural Cleanliness and Maintenance,13
Backflow Prevention Device  Design Standard,boston,18,19,Backflow Prevention Compliance,13
Exclusions & Restrictions,boston,9,10,Operational Compliance Requirements,13
Ice,boston,15,16,Water and Ice Safety,13
Linens and Napkins  Use Limitations,boston,56,57,Utensil and Equipment Storage,13
Bottled Drinking Water,boston,15,16,Water and Ice Safety,12
(B) & (E) Responsibility of Permit Holder  Person in Charge  and Conditional Employees (Pf ),boston,11,12,Employee and Management Responsibilities,12
Preventing Contamination When Tasting,boston,59,60,Contamination Prevention,12
Warewashing Machines  Internal Baffles,boston,63,64,Warewashing and Sanitization Compliance,12
Time as a Public Health Control,boston,14,15,Time Control for Safety,12
Single-Service and Single-Use Articles  Required Use,boston,49,50,Single-Service Article Compliance,12
(B) and (C) Consumer Self-Service Operations,boston,49,50,Single-Service Article Compliance,12
Manual Warewashing Equipment  Wash Solution Temperature,boston,63,64,Warewashing and Sanitization Compliance,11
Approved System and Cleanable Fixtures,boston,38,39,Plumbing and Sewage Issues,11
Restriction and Storage-Medicines ( Pf),boston,10,11,Medicine and First Aid Storage,11
Can Openers,boston,40,41,Personal Hygiene and Equipment Maintenance,11
Preclearing,boston,26,27,Thawing Procedures,10
Outdoor Walking and Driving Surfaces  Graded to Drain,boston,35,36,Waste and Drainage Management,10
Nonstick Coatings  Use Limitation,boston,0,1,Material Use Limitations,10
(B)-(D) Gloves  Use Limitations,boston,40,41,Personal Hygiene and Equipment Maintenance,10
Poisonous or Toxic Material Containers-Container Prohibitions,boston,58,59,Contamination and Chemical Hazards,10
Tracking Powders  Pest Control and Monitoring,boston,20,21,Pest Control Management,10
Conveniently Located,boston,36,37,Sanitation and Facilities Compliance,9
Mechanical Washing,boston,63,64,Warewashing and Sanitization Compliance,9
Flushing a Waste Retention Tank,boston,39,40,Waste Management Violations,8
Equipment Openings  Closures and Deflectors,boston,21,22,Equipment Installation and Maintenance,8
Treating Juice,boston,5,6,Juice Handling Violations,8
Additives,boston,46,47,Sourcing and Handling Compliance,8
Washing  Procedures for Alternative Manual Warewashing Equipment,boston,63,64,Warewashing and Sanitization Compliance,8
Outdoor refuse Areas  Curbed and Graded to Drain,boston,35,36,Waste and Drainage Management,8
Cleaning Implements and Supplies,boston,63,64,Warewashing and Sanitization Compliance,8
Absorbent Materials on Floors  Use Limitation,boston,28,29,Structural Cleanliness and Maintenance,8
Handling Prohibition-Animals,boston,2,3,Prohibited Practices,7
Rinsing Equipment and Utensils after Cleaning and Sanitizing,boston,63,64,Warewashing and Sanitization Compliance,7
Prohibiting a Cross Connection,boston,2,3,Prohibited Practices,7
Backflow Prevention Device  Location,boston,18,19,Backflow Prevention Compliance,7
Protective Cover or Device,boston,4,5,Lighting Safety Compliance,7
Juice Treated-Commercially Processed,boston,5,6,Juice Handling Violations,6
Refrigerated Medicines  Storage,boston,10,11,Medicine and First Aid Storage,6
Maintenance-Fingernails,boston,32,33,Personal Hygiene Violations,6
Food-Contact Surfaces-Lubricating and Reassembling,boston,55,56,Surface Cleanliness and Maintenance,6
Microwave Ovens,boston,62,63,Temperature Measurement Compliance,6
Conditioning Device  Design,boston,18,19,Backflow Prevention Compliance,5
Receptacles or Vehicles,boston,44,45,Waste Management,5
Manual Warewashing Equipment  Heaters and Baskets,boston,63,64,Warewashing and Sanitization Compliance,5
Documentation of Proposed Variance and Justification,boston,3,4,Variance and Specialized Processing Compliance,5
(A)  (B)  (C)  (E) and (G) Pasteurized Foods  Prohibited Re-Service  and Prohibited Food,boston,50,51,Prohibited Foods Compliance,5
Returned Food and Re-service of Food,boston,53,54,Food Safety and Sanitation Violations,4
Soiled and Clean Tableware,boston,55,56,Surface Cleanliness and Maintenance,4
Storage-First Aid Supplies,boston,10,11,Medicine and First Aid Storage,4
Hot Oil Filtering Equipment,boston,29,30,Water and Temperature Control,4
Scheduling Inspection and Service for a Water System Device,boston,63,64,Warewashing and Sanitization Compliance,4
Chemicals for Washing  Treatment  Storage and Processing Fruits and Vegetables  Criteria,boston,30,31,Food Hygiene and Sanitation,4
Ice Units  Separation of Drains,boston,15,16,Water and Ice Safety,4
Beverage Tubing  Separation,boston,5,6,Juice Handling Violations,4
System Flushing and Sanitization-Operation and Maintenance,boston,63,64,Warewashing and Sanitization Compliance,4
Fixed Equipment  Elevation or Sealing,boston,21,22,Equipment Installation and Maintenance,4
Removal  Adjustment  or Retention of Exclusions & Restrictions,boston,9,10,Operational Compliance Requirements,4
Outdoor Food Vending Areas. Overhead Protection,boston,59,60,Contamination Prevention,4
Shell stock  Condition,boston,6,7,Shellfish Identification and Records,3
Time/Temperature Control for Safety Food  Slacking,boston,60,61,Time-Temperature Control Procedures,3
Conditioning Device  Location,boston,18,19,Backflow Prevention Compliance,3
Protection from Unapproved Additives,boston,46,47,Sourcing and Handling Compliance,2
Backflow Prevention Device  Carbonator,boston,18,19,Backflow Prevention Compliance,2
Outdoor Servicing Areas  Overhead Protection,boston,21,22,Equipment Installation and Maintenance,2
Approved Sewage Disposal System,boston,38,39,Plumbing and Sewage Issues,2
Using a Pump and Hoses  Backflow Prevention,boston,18,19,Backflow Prevention Compliance,2
Fish,boston,2,3,Prohibited Practices,2
Living or Sleeping Quarters  Separation,boston,36,37,Sanitation and Facilities Compliance,2
Specifications-Laundering Frequency,boston,63,64,Warewashing and Sanitization Compliance,2
Mechanical Warewashing Equipment  Sanitization Pressure,boston,63,64,Warewashing and Sanitization Compliance,2
Discharges from the Eyes  Nose  and Mouth,boston,22,23,Ventilation and Lighting Compliance,2
Private Homes and Living or Sleeping Quarters  Use Prohibition,boston,2,3,Prohibited Practices,2
Cast Iron  Use Limitations,boston,0,1,Material Use Limitations,2
Galvanized Metal  Use Limitation,boston,0,1,Material Use Limitations,2
Case Lot Handling Apparatuses  Movability,boston,27,28,Storage and Equipment Management,2
Hand Antiseptics,boston,40,41,Personal Hygiene and Equipment Maintenance,2
(D) and (F) Responsibility of Permit Holder  Person in Charge  and Conditional Employees Responsibility of the PIC to Exclude or Restrict,boston,11,12,Employee and Management Responsibilities,2
Eggs,boston,51,52,Raw and Unpasteurized Foods,2
Pasteurized Eggs Substituted for Raw Eggs for Certain Recipes,boston,51,52,Raw and Unpasteurized Foods,2
Using Clean Tableware for Second Portions and Refills,boston,56,57,Utensil and Equipment Storage,2
(D) Pasteurized Foods  Prohibited Re-Service  and Prohibited Foods,boston,50,51,Prohibited Foods Compliance,2
Prevention of Contamination from Hands,boston,40,41,Personal Hygiene and Equipment Maintenance,1
Consumer Advisories,boston,57,58,Food Safety Certification,1
Hot and Cold Water,boston,29,30,Water and Temperature Control,1
Installed and Maintained,boston,42,43,Maintenance and Repair Compliance,1
Fixed Equipment  Spacing or Sealing-Installation,boston,21,22,Equipment Installation and Maintenance,1
Temperature,boston,62,63,Temperature Measurement Compliance,1
Spoilage Unsafe Food,boston,59,60,Contamination Prevention,1
Cold Holding,boston,54,55,Temperature Control,1
Food Protection,boston,59,60,Contamination Prevention,1
Non-Food Contact Surfaces Clean,boston,55,56,Surface Cleanliness and Maintenance,1
Outside Storage Improperly Maintained,boston,34,35,Outdoor Storage and Protection,1
Improper Maintenance of Floors,boston,28,29,Structural Cleanliness and Maintenance,1
Premises Maintained,boston,36,37,Sanitation and Facilities Compliance,1
"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",chicago,36,37,Sanitation and Facilities Compliance,28536
"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED",chicago,55,56,Surface Cleanliness and Maintenance,15332
NON-FOOD/FOOD CONTACT SURFACES CLEAN,chicago,55,56,Surface Cleanliness and Maintenance,12610
ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,chicago,48,49,Handwashing Sink Compliance,9326
PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,chicago,18,19,Backflow Prevention Compliance,9096
ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,chicago,22,23,Ventilation and Lighting Compliance,8742
"INSECTS, RODENTS, & ANIMALS NOT PRESENT",chicago,19,20,Pest Infestation Issues,8211
ALLERGEN TRAINING AS REQUIRED,chicago,25,26,Allergen Awareness Compliance,8108
ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,chicago,57,58,Food Safety Certification,6027
FOOD PROPERLY LABELED; ORIGINAL CONTAINER,chicago,33,34,Food Labeling Compliance,5272
"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED",chicago,36,37,Sanitation and Facilities Compliance,5231
"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",chicago,59,60,Contamination Prevention,5211
CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,chicago,57,58,Food Safety Certification,4530
FOOD-CONTACT SURFACES: CLEANED & SANITIZED,chicago,55,56,Surface Cleanliness and Maintenance,4461
THERMOMETERS PROVIDED & ACCURATE,chicago,62,63,Temperature Measurement Compliance,3083
"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS",chicago,63,64,Warewashing and Sanitization Compliance,2954
PROPER COLD HOLDING TEMPERATURES,chicago,54,55,Temperature Control,2901
WIPING CLOTHS: PROPERLY USED & STORED,chicago,45,46,Sanitation and Cleaning Practices,2856
PREVIOUS CORE VIOLATION CORRECTED,chicago,13,14,Compliance and Corrections,2706
PERSONAL CLEANLINESS,chicago,32,33,Personal Hygiene Violations,2439
"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",chicago,12,13,Person in Charge Duties,2253
IN-USE UTENSILS: PROPERLY STORED,chicago,56,57,Utensil and Equipment Storage,2181
GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,chicago,39,40,Waste Management Violations,2172
"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING",chicago,11,12,Employee and Management Responsibilities,2149
PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL,chicago,37,38,Cooling and Temperature Control,1884
"UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED",chicago,56,57,Utensil and Equipment Storage,1866
SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED,chicago,49,50,Single-Service Article Compliance,1864
